"Age_group","Date","Residual","yday"
"01-14",2014-07-28,-0.0107952919356057,209
"01-14",2014-08-04,0.257523733692689,216
"01-14",2014-08-11,0.0941525525652969,223
"01-14",2014-08-18,-0.0000376933769220222,230
"01-14",2014-08-25,0.251656078523248,237
"01-14",2014-09-01,-0.434432489773285,244
"01-14",2014-09-08,0.247570763017044,251
"01-14",2014-09-15,-0.718770445251288,258
"01-14",2014-09-22,0.0569185683743489,265
"01-14",2014-09-29,0.353115427602706,272
"01-14",2014-10-06,-0.172109126414702,279
"01-14",2014-10-13,-0.0808398520288102,286
"01-14",2014-10-20,-0.317093090538495,293
"01-14",2014-10-27,0.425053293594061,300
"01-14",2014-11-03,-0.115237266417714,307
"01-14",2014-11-10,-1.03874835760467,314
"01-14",2014-11-17,-0.349900746378104,321
"01-14",2014-11-24,-0.350814160230159,328
"01-14",2014-12-01,-0.125320473301118,335
"01-14",2014-12-08,0.34937111345094,342
"01-14",2014-12-15,0.290874823383762,349
"01-14",2014-12-22,0.123754269529044,356
"01-14",2014-12-29,-0.250215097146696,363
"01-14",2015-01-05,0.118342237622982,5
"01-14",2015-01-12,0.166752308129512,12
"01-14",2015-01-19,0.310334935719479,19
"01-14",2015-01-26,-0.000747971738571762,26
"01-14",2015-02-02,0.489614818636089,33
"01-14",2015-02-09,0.161117055444009,40
"01-14",2015-02-16,-0.461707362605224,47
"01-14",2015-02-23,0.227344638330488,54
"01-14",2015-03-02,-0.0177735538777476,61
"01-14",2015-03-09,-0.473126722171367,68
"01-14",2015-03-16,0.286682422773674,75
"01-14",2015-03-23,-0.0243173426479224,82
"01-14",2015-03-30,0.184091681247411,89
"01-14",2015-04-06,-0.116276760373452,96
"01-14",2015-04-13,0.297477831932162,103
"01-14",2015-04-20,0.0740884627807325,110
"01-14",2015-04-27,-0.0079994239267589,117
"01-14",2015-05-04,0.0781128981909657,124
"01-14",2015-05-11,-0.0788883152342664,131
"01-14",2015-05-18,-0.444489573858889,138
"01-14",2015-05-25,0.104407896938109,145
"01-14",2015-06-01,0.364339673984233,152
"01-14",2015-06-08,-0.760619692350935,159
"01-14",2015-06-15,0.204024938128066,166
"01-14",2015-06-22,-0.0478612945870872,173
"01-14",2015-06-29,-0.0368299111278864,180
"01-14",2015-07-06,-0.131166774074698,187
"01-14",2015-07-13,-0.525926840470891,194
"01-14",2015-07-20,-0.00539299746737462,201
"01-14",2015-07-27,0.185092108599174,208
"01-14",2015-08-03,0.271360889615927,215
"01-14",2015-08-10,0.0129924433888231,222
"01-14",2015-08-17,0.350939131087362,229
"01-14",2015-08-24,-0.210014684993998,236
"01-14",2015-08-31,-0.276881334081502,243
"01-14",2015-09-07,-0.763293467701335,250
"01-14",2015-09-14,-0.00956099970446869,257
"01-14",2015-09-21,0.0731825559241057,264
"01-14",2015-09-28,-0.259134486867092,271
"01-14",2015-10-05,-0.407077017511793,278
"01-14",2015-10-12,0.117709375143171,285
"01-14",2015-10-19,0.104397429193391,292
"01-14",2015-10-26,-0.312963746716316,299
"01-14",2015-11-02,-0.205182060382138,306
"01-14",2015-11-09,0.29801577287212,313
"01-14",2015-11-16,0.293240381502024,320
"01-14",2015-11-23,-0.0183619884551139,327
"01-14",2015-11-30,0.22470672000823,334
"01-14",2015-12-07,-0.107380521279911,341
"01-14",2015-12-14,-0.101500730599041,348
"01-14",2015-12-21,-0.21991193100018,355
"01-14",2015-12-28,-0.642359360084237,362
"01-14",2016-01-04,-0.273391489306117,4
"01-14",2016-01-11,0.25481414957327,11
"01-14",2016-01-18,-0.304129358230552,18
"01-14",2016-01-25,-0.304898833142474,25
"01-14",2016-02-01,0.252729772360737,32
"01-14",2016-02-08,0.0955982501042476,39
"01-14",2016-02-15,0.246015060642129,46
"01-14",2016-02-22,0.167799588266709,53
"01-14",2016-02-29,0.163766997556515,60
"01-14",2016-03-07,-0.102105901513055,67
"01-14",2016-03-14,-0.104641533410372,74
"01-14",2016-03-21,0.277089663763435,81
"01-14",2016-03-28,-0.105111675253313,88
"01-14",2016-04-04,-0.580058155419233,95
"01-14",2016-04-11,-0.099471437334816,102
"01-14",2016-04-18,0.31030393657268,109
"01-14",2016-04-25,0.246157065028309,116
"01-14",2016-05-02,0.401231707691023,123
"01-14",2016-05-09,-0.854424605430977,130
"01-14",2016-05-16,0.107345440445164,137
"01-14",2016-05-23,-0.0692231846527237,144
"01-14",2016-05-30,-0.077020702738047,151
"01-14",2016-06-06,-0.146157254707954,158
"01-14",2016-06-13,0.216145695548683,165
"01-14",2016-06-20,-0.141390886749935,172
"01-14",2016-06-27,-0.130435791008274,179
"01-14",2016-07-04,-0.119279517739999,186
"01-14",2016-07-11,-0.226266283297442,193
"01-14",2016-07-18,-0.0986036278824483,200
"01-14",2016-07-25,-0.207978409342096,207
"01-14",2016-08-01,0.116990883685967,214
"01-14",2016-08-08,-0.0793529146048274,221
"01-14",2016-08-15,0.0278547214235486,228
"01-14",2016-08-22,-0.889359778943471,235
"01-14",2016-08-29,-0.0113089691795949,242
"01-14",2016-09-05,0.475191355697423,249
"01-14",2016-09-12,-0.505329216463015,256
"01-14",2016-09-19,0.088481000911279,263
"01-14",2016-09-26,-0.377233373778177,270
"01-14",2016-10-03,-0.258086035703417,277
"01-14",2016-10-10,-0.560058105161276,284
"01-14",2016-10-17,-0.168073406412477,291
"01-14",2016-10-24,0.0204643161024994,298
"01-14",2016-10-31,0.0101576587719238,305
"01-14",2016-11-07,-0.603979646183604,312
"01-14",2016-11-14,0.48941513737345,319
"01-14",2016-11-21,0.0819951502128273,326
"01-14",2016-11-28,-0.322002950620462,333
"01-14",2016-12-05,0.167590725915308,340
"01-14",2016-12-12,0.380951256585642,347
"01-14",2016-12-19,-0.593505073737122,354
"01-14",2016-12-26,-0.537912793538633,361
"01-14",2017-01-02,-0.219745735262496,2
"01-14",2017-01-09,-0.258453180545022,9
"01-14",2017-01-16,-0.0679377019699632,16
"01-14",2017-01-23,-0.424998252688974,23
"01-14",2017-01-30,-0.293134185119301,30
"01-14",2017-02-06,-0.178076145271379,37
"01-14",2017-02-13,-0.0762701994325689,44
"01-14",2017-02-20,-0.303465364346999,51
"01-14",2017-02-27,0.252045423286713,58
"01-14",2017-03-06,-0.781283334303331,65
"01-14",2017-03-13,-1.00729151953926,72
"01-14",2017-03-20,-0.449246612443995,79
"01-14",2017-03-27,0.0898826802400833,86
"01-14",2017-04-03,-0.313790893446443,93
"01-14",2017-04-10,-0.190198483206754,100
"01-14",2017-04-17,0.178917799911174,107
"01-14",2017-04-24,-0.199204182334034,114
"01-14",2017-05-01,0.102642860232561,121
"01-14",2017-05-08,-0.0544173064084366,128
"01-14",2017-05-15,-0.063521535522858,135
"01-14",2017-05-22,-0.0579434793447596,142
"01-14",2017-05-29,-0.0659953906359499,149
"01-14",2017-06-05,0.557681327058057,156
"01-14",2017-06-12,0.146386127520593,163
"01-14",2017-06-19,0.156246995903905,170
"01-14",2017-06-26,-0.37196139735608,177
"01-14",2017-07-03,0.401367190425434,184
"01-14",2017-07-10,0.102240017173371,191
"01-14",2017-07-17,0.199522802403008,198
"01-14",2017-07-24,0.0261557302127485,205
"01-14",2017-07-31,-0.477509913419986,212
"01-14",2017-08-07,-0.184773385493259,219
"01-14",2017-08-14,0.136338164404475,226
"01-14",2017-08-21,-0.0643624610116441,233
"01-14",2017-08-28,-0.401729996877965,240
"01-14",2017-09-04,0.0559279611904178,247
"01-14",2017-09-11,0.204697540782499,254
"01-14",2017-09-18,0.273025567222772,261
"01-14",2017-09-25,0.467332591070468,268
"01-14",2017-10-02,-0.0168721776310567,275
"01-14",2017-10-09,-0.724340434999974,282
"01-14",2017-10-16,-0.401571027605005,289
"01-14",2017-10-23,0.279081464930806,296
"01-14",2017-10-30,0.268276246506553,303
"01-14",2017-11-06,0.259639338035854,310
"01-14",2017-11-13,-0.305966208063032,317
"01-14",2017-11-20,0.00962375555296796,324
"01-14",2017-11-27,-0.0850746613104045,331
"01-14",2017-12-04,0.180799514664061,338
"01-14",2017-12-11,-0.0761385536917263,345
"01-14",2017-12-18,-0.0697796212916725,352
"01-14",2017-12-25,0.350722761722034,359
"01-14",2018-01-01,-0.00479842030802503,1
"01-14",2018-01-08,-0.936986585536875,8
"01-14",2018-01-15,0.129302745463658,15
"01-14",2018-01-22,0.534655320883565,22
"01-14",2018-01-29,-0.277701187250522,29
"01-14",2018-02-05,0.205290624929482,36
"01-14",2018-02-12,0.0348562614094187,43
"01-14",2018-02-19,-0.421064647026908,50
"01-14",2018-02-26,-0.579268681830341,57
"01-14",2018-03-05,0.397838692541125,64
"01-14",2018-03-12,-0.43178123632886,71
"01-14",2018-03-19,-0.769965259062006,78
"01-14",2018-03-26,-0.313064655878484,85
"01-14",2018-04-02,0.187140267775722,92
"01-14",2018-04-09,0.143783320745602,99
"01-14",2018-04-16,-0.0681667116774312,106
"01-14",2018-04-23,-0.574267826560355,113
"01-14",2018-04-30,0.27809408990647,120
"01-14",2018-05-07,0.210084503195264,127
"15-44",2010-01-04,-0.156300331045874,4
"15-44",2010-01-11,0.164586340694389,11
"15-44",2010-01-18,0.156703514425812,18
"15-44",2010-01-25,0.134872357184225,25
"15-44",2010-02-01,0.01247724441887,32
"15-44",2010-02-08,-0.0258506110505942,39
"15-44",2010-02-15,0.0432527010732836,46
"15-44",2010-02-22,0.0771575432573215,53
"15-44",2010-03-01,0.150072228842997,60
"15-44",2010-03-08,0.0770803745150723,67
"15-44",2010-03-15,-0.0268094830094511,74
"15-44",2010-03-22,-0.0330296267470647,81
"15-44",2010-03-29,-0.156837820030039,88
"15-44",2010-04-05,-0.0777968167022242,95
"15-44",2010-04-12,-0.0961672198485943,102
"15-44",2010-04-19,0.173060473638865,109
"15-44",2010-04-26,0.127797997299075,116
"15-44",2010-05-03,-0.188021028617458,123
"15-44",2010-05-10,0.0385353629753389,130
"15-44",2010-05-17,0.196929975721017,137
"15-44",2010-05-24,0.160998887930096,144
"15-44",2010-05-31,-0.0903482691336472,151
"15-44",2010-06-07,-0.0230031009430077,158
"15-44",2010-06-14,0.0311114410341069,165
"15-44",2010-06-21,0.139945250399548,172
"15-44",2010-06-28,-0.0297022381084505,179
"15-44",2010-07-05,0.108669129357483,186
"15-44",2010-07-12,0.0525448292681252,193
"15-44",2010-07-19,0.0382500952767271,200
"15-44",2010-07-26,0.0180004234424379,207
"15-44",2010-08-02,0.182599087237456,214
"15-44",2010-08-09,0.140649969139033,221
"15-44",2010-08-16,-0.0807988242058342,228
"15-44",2010-08-23,0.0618383579454649,235
"15-44",2010-08-30,-0.0527333455415951,242
"15-44",2010-09-06,0.0880686139280517,249
"15-44",2010-09-13,0.183448034144809,256
"15-44",2010-09-20,0.234107985375988,263
"15-44",2010-09-27,0.0211464800397437,270
"15-44",2010-10-04,0.105507384213988,277
"15-44",2010-10-11,0.0768951946729755,284
"15-44",2010-10-18,0.0430480809669663,291
"15-44",2010-10-25,0.0515164246775337,298
"15-44",2010-11-01,0.0130049394817931,305
"15-44",2010-11-08,-0.00974403616278893,312
"15-44",2010-11-15,0.00688815628728033,319
"15-44",2010-11-22,-0.0109530538274983,326
"15-44",2010-11-29,-0.0707120378377682,333
"15-44",2010-12-06,0.0873795690587029,340
"15-44",2010-12-13,0.132730906591767,347
"15-44",2010-12-20,0.316589110524098,354
"15-44",2010-12-27,-0.0643160325087321,361
"15-44",2011-01-03,0.0289725738694681,3
"15-44",2011-01-10,0.106566566269084,10
"15-44",2011-01-17,0.282528427271601,17
"15-44",2011-01-24,0.0794535302949192,24
"15-44",2011-01-31,0.036027373820648,31
"15-44",2011-02-07,-0.00391849871083942,38
"15-44",2011-02-14,0.084236856277932,45
