"Date","Residual","yday"
2012-12-03,-0.0200160542752258,338
2012-12-10,0.00696322717974203,345
2012-12-17,0.0784212845681566,352
2012-12-24,-0.0556997555304361,359
2012-12-31,0.00220257577576969,366
2013-01-07,-0.0785731516719857,7
2013-01-14,-0.0170760516750165,14
2013-01-21,-0.000150309244336171,21
2013-01-28,0.00935952490518649,28
2013-02-04,-0.00614248805613236,35
2013-02-11,0.00401649138382297,42
2013-02-18,0.000872992774527824,49
2013-02-25,0.00916104077709182,56
2013-03-04,0.0660828331566761,63
2013-03-11,0.075056126479431,70
2013-03-18,0.0795064351892953,77
2013-03-25,0.0377915624122767,84
2013-04-01,0.0856561056553462,91
2013-04-08,0.0817705416980698,98
2013-04-15,0.180869062599041,105
2013-04-22,0.0898579552317828,112
2013-04-29,0.0569404056080348,119
